Player_1,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
"Luca Koleosho 19,  AM(L)",175,68,0(4),54,1,-,-,-,0.3,72,-,-,6.45,Espanyol,2022/2023
"Ronaël Pierre-Gabriel 25,  D(CLR),M(R)",177,76,2(6),239,1,-,-,1,0.3,78.8,0.5,-,6.43,Espanyol,2022/2023
"Denis Suárez 30,  M(CLR)",176,69,11(7),950,-,-,2,-,0.2,77.1,0.2,-,6.43,Espanyol,2022/2023
"Sergi Gómez 31,  D(CR)",185,80,26(3),2343,-,-,-,2,0.3,86,1.5,-,6.43,Espanyol,2022/2023
"Álvaro Fernández 25,  GK",185,75,12,991,-,-,1,-,-,61.1,0.3,-,6.42,Espanyol,2022/2023
"Adrià Pedrosa 25,  D(L),M(L)",176,69,2(5),226,-,-,-,-,0.1,83.6,0.1,-,6.4,Espanyol,2022/2023
"Óscar Gil 25,  D(R)",173,0,31(2),2571,-,1,14,-,0.3,77.8,0.4,-,6.4,Espanyol,2022/2023
"Nico Melamed 22,  AM(CL)",173,0,16(16),1251,1,2,4,-,1,84.1,0.4,-,6.36,Espanyol,2022/2023
"José Carlos Lazo 28,  Midfielder",180,69,0(10),149,1,1,-,-,0.4,79.3,-,1,6.35,Espanyol,2022/2023
"Aleix Vidal 34,  D(R),M(LR)",177,70,10(15),1025,-,3,8,1,0.1,77.9,0.1,-,6.25,Espanyol,2022/2023
"Keidi Bare 26,  DMC",174,66,4(14),498,-,1,-,-,0.3,84.3,0.3,-,6.23,Espanyol,2022/2023
"Benjamin Lecomte 32,  GK",186,78,10,900,-,-,1,1,-,63.2,-,1,6.2,Espanyol,2022/2023
"Omar El Hilali 20,  Defender",183,0,1(4),90,-,-,1,-,-,57.7,0.4,-,6.13,Espanyol,2022/2023
"Nabili Zoubdi Touaizi 23,  Forward",183,0,0(1),2,-,-,-,-,-,100,-,-,6.09,Espanyol,2022/2023
"Simo 19,  Defender",177,0,0(7),144,-,-,-,-,-,95,0.3,-,6.07,Espanyol,2022/2023
"Dani Gómez 25,  FW",178,69,0(8),83,-,-,1,-,-,85.7,0.1,-,6.05,Espanyol,2022/2023
"Pol Lozano 24,  M(C)",177,62,0(4),13,-,-,1,-,-,71.4,0.3,-,5.97,Espanyol,2022/2023
"Roger Martínez 19,  Midfielder",0,0,0(1),6,-,-,-,-,1,100,-,-,5.91,Espanyol,2022/2023
"Joan García 22,  Goalkeeper",180,0,1,90,-,-,-,-,-,84.6,-,-,5.73,Espanyol,2022/2023
"Lucas Boyé 28,  AM(L),FW",179,81,29(6),2475,7,2,7,1,2.1,79.7,1.4,4,6.79,Elche,2022/2023
"Gerard Gumbau 29,  DMC",187,77,31(4),2745,1,6,11,-,1.3,81.7,0.6,2,6.74,Elche,2022/2023
"Edgar Badia 32,  GK",180,70,36,3240,-,-,2,-,-,69.5,0.3,2,6.73,Elche,2022/2023
"Omar Mascarell 31,  D(C),DMC",181,76,28,2450,-,1,6,-,0.3,86.8,1,-,6.67,Elche,2022/2023
"Carlos Clerc 32,  D(CL),M(L)",182,72,31(1),2647,-,1,5,-,0.3,77.8,0.6,-,6.63,Elche,2022/2023
"Federico Fernández 35,  D(C)",190,83,1,90,-,-,-,-,-,57.1,1,-,6.62,Elche,2022/2023
"Álex Collado 24,  AM(CR)",177,66,8(7),725,1,1,1,-,1.1,84.4,0.3,1,6.62,Elche,2022/2023
"Tete Morente 27,  M(CLR)",180,76,23(9),2073,4,-,5,-,1.4,80.8,1.1,1,6.58,Elche,2022/2023
"Lisandro Magallán 30,  D(C)",185,79,11(3),903,-,-,-,1,0.4,83.5,1.2,-,6.44,Elche,2022/2023
"Johan Mojica 31,  D(L),M(L)",185,66,3,270,-,-,2,-,1,75,1.3,-,6.43,Elche,2022/2023
"Josan 34,  D(R),M(R)",175,68,9(17),1070,1,3,3,-,0.2,84.7,0.2,-,6.43,Elche,2022/2023
"Pere Milla 31,  AM(CLR),FW",184,72,22(10),1875,6,1,7,-,1.1,71.6,0.9,2,6.42,Elche,2022/2023
"John Donald 23,  D(C),DMC",185,0,13(1),1095,-,-,3,1,0.1,83.9,2,-,6.41,Elche,2022/2023
"Pedro Bigas 33,  D(CL)",181,83,25(3),2027,-,-,3,2,0.8,80.9,1.5,-,6.4,Elche,2022/2023
"Randy Nteka 26,  AM(C),FW",189,75,10(4),730,-,-,1,-,1,69.6,1.1,-,6.4,Elche,2022/2023
"Fidel 34,  M(CLR)",180,74,21(6),1730,3,2,6,-,0.5,74.3,0.1,-,6.4,Elche,2022/2023
"Helibelton Palacios 30,  D(CR)",177,75,23(1),1922,-,-,7,-,0.2,77.1,0.9,-,6.37,Elche,2022/2023
"José Ángel Carmona 22,  D(CR),M(R)",183,0,8(1),593,1,-,3,1,0.6,72.1,0.7,1,6.36,Elche,2022/2023
"Pol Lirola 26,  D(R),M(LR)",183,70,7(5),628,1,-,1,-,0.1,78.6,0.7,-,6.35,Elche,2022/2023
"Enzo Roco 31,  D(C)",192,79,19(3),1657,-,-,4,1,0.5,82.2,2.1,-,6.27,Elche,2022/2023
"Lautaro Blanco 25,  D(L),M(L)",176,81,9(8),874,-,2,2,-,0.1,64.1,-,-,6.26,Elche,2022/2023
"Gonzalo Verdú 35,  D(C)",185,80,9(7),704,1,-,-,2,0.6,79.6,1.8,-,6.26,Elche,2022/2023
"Nicolás Fernández Mercau 24,  M(L)",172,71,3(15),504,-,1,2,-,0.3,78.3,0.1,-,6.19,Elche,2022/2023
"Ezequiel Ponce 26,  AM(L),FW",180,80,8(26),1115,4,-,2,1,0.9,75.6,1,-,6.19,Elche,2022/2023
"Diego González 29,  D(CL)",185,83,8(8),955,-,-,5,-,0.4,79.6,1.2,-,6.16,Elche,2022/2023
"Axel Werner 28,  GK",192,85,2,180,-,-,-,-,-,71.7,-,-,6.15,Elche,2022/2023
"Raúl Guti 27,  DMC",177,74,12(16),1084,-,-,1,-,0.7,81.9,0.2,-,6.13,Elche,2022/2023
"Roger Martí 33,  FW",179,74,8(4),657,-,1,2,-,0.5,75.7,0.5,-,6.11,Elche,2022/2023
"Domingos Quina 24,  M(CLR)",179,72,2(8),269,-,-,1,1,0.6,85.3,-,-,6.01,Elche,2022/2023
"Alejandro Alfaro 21,  Midfielder",183,0,0(1),14,-,-,-,-,-,100,-,-,5.95,Elche,2022/2023
"Javier Pastore 34,  AM(CLR)",187,78,0(1),4,-,-,-,-,-,85.7,-,-,5.94,Elche,2022/2023
"Pape Cheikh 26,  DMC",180,68,1(2),36,-,-,1,1,-,73.7,-,-,5.88,Elche,2022/2023
