Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season
Jose Canas ,36,  DMC,177,69,26,1,2265,0,1,10,0,0.5,80.3,1,0,6.76,Real Betis,2012/2013
Ruben Perez ,34,  M,178,73,18,7,1624,1,0,10,1,0.4,76.5,1.1,0,6.76,Real Betis,2012/2013
Angel ,43,  D,180,71,8,3,738,1,0,3,0,0.1,76,0.7,0,6.75,Real Betis,2012/2013
Alex Martinez ,33,  D,176,67,11,2,1037,0,1,1,0,0.2,76.2,0.7,0,6.72,Real Betis,2012/2013
Joel Campbell ,31,  AM,178,71,21,7,1614,2,3,7,1,1.5,67.5,1.1,1,6.71,Real Betis,2012/2013
Salva Sevilla ,39,  M,178,71,15,2,1103,2,1,3,0,1,78.9,0.4,0,6.7,Real Betis,2012/2013
Fabri ,36,  GK,184,79,2,0,180,0,0,0,0,0,50.8,0.5,0,6.69,Real Betis,2012/2013
Juankar ,33,  D,179,70,21,4,1513,0,3,4,0,0.8,69.3,0.8,1,6.68,Real Betis,2012/2013
Chechu Dorado ,41,  D,180,70,5,2,496,0,0,1,0,0.1,68.8,1,0,6.67,Real Betis,2012/2013
Nelson ,40,  D,171,64,10,0,898,0,0,2,0,0.4,75.7,0.8,0,6.67,Real Betis,2012/2013
Javi Chica ,38,  D,175,78,21,1,1896,0,1,4,0,0.8,73.7,0.7,0,6.66,Real Betis,2012/2013
Damien Perquis ,39,  D,183,74,7,3,652,0,0,2,1,0.5,81.8,2.4,0,6.64,Real Betis,2012/2013
Nosa ,33,  M,182,78,7,9,574,1,1,2,0,0.4,79.3,1.1,0,6.6,Real Betis,2012/2013
Casto ,41,  GK,181,77,5,0,372,0,0,2,1,0,51.5,0,0,6.59,Real Betis,2012/2013
Alvaro Vadillo ,29,  AM,180,69,3,11,498,0,2,3,0,0.5,70.8,0.9,0,6.53,Real Betis,2012/2013
Salvador Agra ,32,  D,166,67,7,3,512,1,0,3,0,1,71.6,0.2,0,6.51,Real Betis,2012/2013
Fausto Tienza ,34,  M,183,78,0,1,4,0,0,0,0,0,50,0,0,6.4,Real Betis,2012/2013
Sergio Rodriguez ,31,  Midfielder,169,65,0,1,12,0,0,0,0,0,86.4,0,0,6.4,Real Betis,2012/2013
Jonathan Pereira ,36,  FW,167,61,1,5,247,0,1,2,0,0.7,66.3,0.2,0,6.38,Real Betis,2012/2013
Nono ,30,  DMC,176,71,4,11,586,0,0,3,0,0.5,78.6,0.3,0,6.35,Real Betis,2012/2013
Alejandro Pozuelo ,32,  M,170,75,4,7,429,1,0,1,0,0.6,82.4,0.2,0,6.32,Real Betis,2012/2013
Guillermo Molins ,35,  Midfielder,182,79,0,4,49,0,0,0,0,0.8,92.9,0,0,6.07,Real Betis,2012/2013
Carlos Garcia ,30,  Midfielder,181,0,0,1,1,0,0,0,0,0,75,0,0,6,Real Betis,2012/2013
Piti ,42,  M,174,69,33,2,2839,18,2,9,0,3.2,69.7,0.9,4,7.13,Rayo Vallecano,2012/2013
Nacho Martinez ,35,  D,174,63,8,2,749,1,1,3,0,0.4,74.1,0.6,1,7.12,Rayo Vallecano,2012/2013
Roberto Trashorras ,43,  M,179,71,31,4,2727,1,4,6,0,1.5,85.4,0.3,1,7.04,Rayo Vallecano,2012/2013
Casado ,37,  D,173,72,28,0,2294,0,4,11,1,0.5,74.3,1.1,2,7.04,Rayo Vallecano,2012/2013
Alejandro Galvez ,34,  D,188,79,24,4,2245,0,0,11,1,0.4,82,2.8,1,7,Rayo Vallecano,2012/2013
Leo Baptistao ,31,  AM,185,72,26,2,2254,7,6,5,0,2.1,75.5,1.9,3,6.98,Rayo Vallecano,2012/2013
Jordi Figueras ,36,  D,185,82,13,1,1185,0,1,4,0,0.4,83.7,1.9,0,6.87,Rayo Vallecano,2012/2013
Javi Fuego ,40,  M,181,76,36,0,3217,0,1,14,0,0.5,82.8,1.6,1,6.86,Rayo Vallecano,2012/2013
Ruben Martinez ,39,  GK,188,79,29,1,2612,0,0,8,1,0,59.8,0.4,3,6.79,Rayo Vallecano,2012/2013
Anaitz Arbilla ,36,  D,178,76,8,3,789,0,0,1,0,0.6,81.1,1.4,0,6.75,Rayo Vallecano,2012/2013
Jordi Amat ,31,  D,185,83,26,1,2206,1,0,12,0,0.3,81.1,1.4,0,6.74,Rayo Vallecano,2012/2013
Jose Carlos Fernandez ,36,  M,177,68,21,11,2118,2,1,4,0,1.7,78,0.5,1,6.73,Rayo Vallecano,2012/2013
Tito ,38,  D,175,64,31,2,2747,1,1,9,0,0.5,75.1,1.2,0,6.66,Rayo Vallecano,2012/2013
David Cobeno ,41,  GK,185,82,8,0,698,0,0,1,0,0,66.7,0,0,6.64,Rayo Vallecano,2012/2013
Chori Dominguez ,42,  AM,176,69,32,1,2723,5,5,12,0,1.8,76.6,0.1,1,6.62,Rayo Vallecano,2012/2013
Lass Bangoura ,31,  M,174,68,20,12,1778,3,5,6,0,1.9,72.2,0.3,1,6.53,Rayo Vallecano,2012/2013
Alberto Perea ,33,  AM,177,74,1,3,141,0,0,0,0,0.3,85.3,0.3,0,6.52,Rayo Vallecano,2012/2013
Franco Vazquez ,35,  AM,187,82,8,10,752,3,0,2,0,1,75.8,0.5,0,6.49,Rayo Vallecano,2012/2013
Andrija Delibasic ,42,  FW,187,84,11,21,1250,6,1,6,0,0.8,73.5,1.2,0,6.43,Rayo Vallecano,2012/2013
Rodri ,39,  DMC,185,81,3,1,214,0,0,2,0,0.5,78.2,1.5,0,6.35,Rayo Vallecano,2012/2013
Adrian Gonzalez ,35,  M,183,78,8,13,793,0,1,5,0,1,77.3,0.9,0,6.32,Rayo Vallecano,2012/2013
Nicki Bille Nielsen ,36,  FW,181,75,4,5,395,0,0,1,0,1.1,75.6,1,0,6.26,Rayo Vallecano,2012/2013
Mikel Labaka ,43,  D,185,79,7,3,647,0,0,4,1,0.3,75.7,2.4,0,6.26,Rayo Vallecano,2012/2013
Isi Gomez ,28,  Midfielder,172,62,0,1,5,0,0,0,0,0,75,0,0,6.11,Rayo Vallecano,2012/2013
Dani Gimenez ,40,  GK,185,81,1,1,109,0,0,0,0,0,56.7,0.5,0,6.08,Rayo Vallecano,2012/2013
Ruben Ramiro ,30,  Forward,176,70,0,1,27,0,0,0,0,0,44.4,0,0,6.06,Rayo Vallecano,2012/2013
Raul Tamudo ,46,  AM,180,74,0,4,56,1,0,0,0,0.8,90.9,0.3,0,6.05,Rayo Vallecano,2012/2013
Manuel Arana ,39,  D,175,72,0,2,14,0,0,0,0,0,62.5,0.5,0,6.05,Rayo Vallecano,2012/2013
Mohammed Abu ,32,  DMC,170,68,1,0,61,0,0,0,0,0,70,0,0,5.6,Rayo Vallecano,2012/2013
Ivan Rakitic ,36,  M,184,78,34,0,2967,8,10,8,2,1.8,78.7,1,4,7.41,Sevilla,2012/2013
Alvaro Negredo ,38,  FW,186,71,34,2,3036,25,1,3,0,4.2,64.2,3.6,5,7.3,Sevilla,2012/2013
Emir Spahic ,43,  D,186,81,22,0,1959,1,0,10,0,0.5,81.7,3.5,2,7.27,Sevilla,2012/2013
Federico Fazio ,36,  D,195,85,25,1,2118,3,0,5,2,1.2,80,3.5,0,7.14,Sevilla,2012/2013
Jesus Navas ,38,  D,172,60,37,0,3317,0,6,5,0,2.2,80.1,0.3,0,7.04,Sevilla,2012/2013
Coke ,36,  D,182,78,19,2,1553,3,4,4,1,0.6,78.3,1,1,6.99,Sevilla,2012/2013
Jose Antonio Reyes ,40,  M,176,72,21,6,1780,4,6,1,2,1.5,77,0.6,1,6.97,Sevilla,2012/2013
Julian ,32,  GK,195,91,1,0,90,0,0,0,0,0,61.5,0,0,6.97,Sevilla,2012/2013
Alberto Moreno ,31,  D,171,65,12,3,1106,0,1,5,0,0.4,78,0.7,1,6.93,Sevilla,2012/2013
Piotr Trochowski ,39,  M,169,72,6,0,445,2,0,0,0,1.5,80.3,0.7,0,6.91,Sevilla,2012/2013
Gary Medel ,36,  D,171,65,31,1,2654,6,3,7,3,1,87.5,0.9,1,6.89,Sevilla,2012/2013
Cicinho ,37,  D,174,63,19,8,1723,1,2,5,0,0.6,79.8,0.2,2,6.88,Sevilla,2012/2013
Beto ,41,  GK,182,81,14,0,1260,0,0,0,0,0,67.4,0.1,0,6.83,Sevilla,2012/2013
Geoffrey Kondogbia ,31,  D,188,80,23,8,1926,1,1,4,0,0.7,87,1.1,1,6.83,Sevilla,2012/2013
Fernando Navarro ,41,  D,177,70,35,0,3123,0,1,10,1,0.1,79,1.6,0,6.72,Sevilla,2012/2013
Juan Cala ,34,  D,185,78,9,2,812,0,0,5,0,0.6,81.8,2,1,6.7,Sevilla,2012/2013
Andres Palop ,50,  GK,184,75,15,1,1405,0,0,1,0,0,67.5,0.4,2,6.69,Sevilla,2012/2013
Alberto Botia ,35,  D,189,89,14,4,1358,1,0,11,0,0.3,78.5,0.9,0,6.58,Sevilla,2012/2013
Diego Perotti ,35,  M,179,70,8,10,832,0,0,2,0,0.4,84,0.3,0,6.56,Sevilla,2012/2013
Hedwiges Maduro ,39,  DMC,185,79,16,10,1316,0,0,2,1,0,86.5,0.7,0,6.34,Sevilla,2012/2013
Bryan Rabello ,29,  Midfielder,167,70,0,3,104,0,0,0,0,0.3,93.4,0,0,6.33,Sevilla,2012/2013
Manu del Moral ,40,  M,185,84,7,15,773,1,0,2,0,0.9,75.2,0.4,0,6.32,Sevilla,2012/2013
Miroslav Stevanovic ,33,  M,180,72,0,7,105,0,0,0,0,0.7,85.2,0,0,6.24,Sevilla,2012/2013
Jose Campana ,30,  M,179,70,3,2,187,0,0,2,0,0.8,82.1,0,0,6.22,Sevilla,2012/2013
Papa Baba Diawara ,36,  FW,182,76,5,14,622,0,0,1,0,1.3,76.1,0.8,0,6.15,Sevilla,2012/2013
Israel Puerto ,30,  Defender,187,74,0,2,25,0,0,0,0,0,0,0.5,0,6.13,Sevilla,2012/2013
Alex Rubio ,30,  Forward,182,77,0,2,26,0,0,0,0,0,28.6,0,0,6.12,Sevilla,2012/2013
Javi Hervas ,34,  Midfielder,176,78,1,8,150,0,0,1,0,0.3,81.9,0.3,0,6.06,Sevilla,2012/2013
Diego Lopez ,42,  GK,196,89,8,0,664,0,0,0,1,0,64.4,0.4,0,6.01,Sevilla,2012/2013
Antonio Luna ,32,  D,178,68,2,3,186,0,0,1,1,0,65.6,0,0,5.96,Sevilla,2012/2013
Sergio Escudero ,34,  D,176,65,9,0,787,1,0,0,0,1.2,65.9,1.3,2,7.58,Getafe,2012/2013
Pedro Leon ,37,  M,183,70,26,3,2281,3,7,4,1,2.6,69.1,0.4,3,7.18,Getafe,2012/2013
Jordi Codina ,41,  GK,189,81,6,1,618,0,0,1,0,0,50.6,0.3,0,7.14,Getafe,2012/2013
Federico Fernandez ,35,  D,190,83,13,1,1173,1,1,5,1,0.4,65.4,2.4,1,7.11,Getafe,2012/2013
Abdelaziz Barrada ,34,  M,179,73,30,2,2591,4,6,4,1,1.3,74.8,1.4,4,7.07,Getafe,2012/2013
Juan Rodriguez ,41,  M,185,72,7,2,537,2,1,1,0,0.8,76.7,3.7,1,7.01,Getafe,2012/2013
Rafa ,38,  D,183,72,16,3,1571,1,0,6,0,0.6,83.8,1.9,0,6.96,Getafe,2012/2013
Miguel Angel Moya ,39,  GK,188,83,32,0,2802,0,0,1,1,0,60.7,0.3,2,6.94,Getafe,2012/2013
Juan Valera ,39,  D,184,76,30,0,2593,2,0,8,0,0.5,69.9,3.6,0,6.88,Getafe,2012/2013
Borja Fernandez ,43,  M,189,82,14,2,1097,1,1,8,1,0.3,72.3,1.9,0,6.83,Getafe,2012/2013
Alexis Ruano ,38,  D,182,75,25,1,2245,3,0,11,2,0.4,75.9,1.8,1,6.8,Getafe,2012/2013
Miguel Torres ,38,  D,185,81,20,1,1739,0,0,6,0,0.1,73.2,1.7,1,6.77,Getafe,2012/2013
Adrian Colunga ,39,  AM,169,64,15,7,1278,6,6,4,0,2,64.5,0.4,2,6.76,Getafe,2012/2013
David Abraham ,37,  D,188,83,9,0,771,0,0,1,0,0.6,75.8,2.4,0,6.76,Getafe,2012/2013
Alberto Lopo ,43,  D,186,82,17,4,1671,1,1,9,0,0.4,74.6,2,1,6.75,Getafe,2012/2013
Mane ,42,  D,175,68,12,1,1015,1,2,1,0,0.7,76.2,0.5,0,6.74,Getafe,2012/2013
Michel ,38,  M,183,72,13,4,1072,0,0,9,1,0.4,76.1,1.6,0,6.7,Getafe,2012/2013
Diego Castro ,41,  M,174,71,30,4,2638,7,3,10,1,1.6,76.7,0.4,0,6.65,Getafe,2012/2013
Xavi Torres ,37,  M,182,76,32,3,2824,0,2,7,0,0.7,80.2,0.8,0,6.62,Getafe,2012/2013
Angel Lafita ,39,  M,187,73,17,9,1701,2,0,5,0,1.8,69,1.7,0,6.6,Getafe,2012/2013
Mehdi Lacen ,40,  M,176,74,10,10,925,0,0,2,0,0.5,75.2,0.8,0,6.49,Getafe,2012/2013
Miku Fedor ,38,  FW,185,91,2,0,160,0,0,0,0,2,72.4,0,0,6.46,Getafe,2012/2013
Paco Alcacer ,30,  AM,175,72,6,14,682,3,1,0,0,1,70.8,0.6,0,6.37,Getafe,2012/2013
Hugo Fraile ,37,  Midfielder,176,73,0,3,71,0,0,0,0,0.3,84.2,0,0,6.32,Getafe,2012/2013
Jaime Gavilan ,38,  AM,177,71,10,12,896,0,2,4,0,0.5,76.4,0.3,0,6.31,Getafe,2012/2013
Pablo Sarabia ,31,  D,174,70,3,10,418,1,0,2,0,1,65.1,0.4,0,6.3,Getafe,2012/2013
Alvaro Vazquez ,32,  FW,182,75,14,15,1320,4,0,2,0,1,73.4,0.3,0,6.28,Getafe,2012/2013
Keylor Navas ,37,  GK,185,80,9,0,810,0,0,0,0,0,41.2,1.1,3,7.23,Levante,2012/2013
Iborra ,36,  M,190,80,35,0,3063,4,0,12,1,1,74,2.5,2,7.06,Levante,2012/2013
Juanfran ,47,  D,183,78,28,1,2515,0,3,8,0,0.4,63.1,1.5,2,7.01,Levante,2012/2013
Simao Mate ,35,  D,180,78,2,2,252,0,0,1,0,0.3,81.9,2.3,0,6.94,Levante,2012/2013
Pape Diop ,37,  M,180,77,32,0,2521,0,0,10,1,0.7,71.3,1.5,0,6.94,Levante,2012/2013
Gustavo Munua ,46,  GK,188,87,29,0,2610,0,1,3,0,0,34.8,0.3,1,6.82,Levante,2012/2013
Pedro Lopez ,40,  D,174,72,16,1,1450,0,1,8,2,0.2,73.6,0.6,0,6.81,Levante,2012/2013
Loukas Vyntra ,43,  D,184,80,15,0,1350,0,0,4,0,0.3,72.7,1.1,0,6.81,Levante,2012/2013
Dariusz Dudka ,40,  D,183,80,1,2,123,0,0,0,0,0,78.1,1.3,0,6.81,Levante,2012/2013
David Navarro ,43,  D,188,82,35,0,3086,1,2,8,1,0.4,74.8,1.9,0,6.8,Levante,2012/2013
Michel Herrero ,35,  M,182,68,20,17,1935,4,6,6,0,0.9,74.7,0.6,0,6.79,Levante,2012/2013
Hector Rodas ,36,  D,190,85,5,5,581,0,0,2,0,0,72.6,1.3,0,6.76,Levante,2012/2013
Obafemi Martins ,39,  FW,171,70,18,3,1712,7,2,6,0,1.6,76.5,1.7,2,6.76,Levante,2012/2013
Ruben Garcia ,30,  AM,171,72,21,10,1853,4,3,4,0,1,69.6,0.2,1,6.68,Levante,2012/2013
Nikos Karampelas ,39,  D,180,70,7,2,654,0,1,0,1,0.3,66.9,0.4,0,6.67,Levante,2012/2013
Barkero ,44,  M,180,71,25,3,2184,5,1,5,0,2,65.4,1.5,2,6.65,Levante,2012/2013
Sergio Ballesteros ,48,  D,188,93,26,0,2283,0,1,10,0,0.2,64.6,1,0,6.6,Levante,2012/2013
Pedro Rios ,42,  M,175,72,16,10,1442,2,1,4,0,1,64,1,0,6.57,Levante,2012/2013
Christian Lell ,39,  D,180,80,20,1,1774,2,0,2,1,0.4,71.5,0.5,0,6.55,Levante,2012/2013
Nabil El Zhar ,37,  M,171,66,21,10,1682,2,1,5,0,1.1,72.1,0.4,1,6.55,Levante,2012/2013
Juanlu ,43,  AM,173,70,14,11,1248,2,0,6,0,1,66.1,0.2,0,6.49,Levante,2012/2013
Robert Acquafresca ,36,  FW,184,67,12,1,954,3,0,1,0,1.9,75.9,0.9,0,6.41,Levante,2012/2013
Valdo ,42,  M,184,78,6,7,653,0,1,2,0,0.7,71.1,1.2,0,6.25,Levante,2012/2013
Angel Rodriguez ,36,  FW,172,68,2,8,282,1,1,0,0,0.8,79.2,0.5,0,6.17,Levante,2012/2013
Miguel Pallardo ,37,  M,173,73,0,5,59,0,0,0,0,0,70.4,0.2,0,6.16,Levante,2012/2013
Roger Marti ,33,  FW,179,74,2,13,313,1,0,1,0,0.8,70.7,0.3,0,6.16,Levante,2012/2013
Theofanis Gekas ,43,  FW,179,76,2,2,234,0,1,0,0,0,66.7,0.8,0,6.11,Levante,2012/2013
Markel Susaeta ,36,  M,179,63,36,0,3077,7,7,7,1,1.7,78.5,0.4,3,7.17,Athletic Bilbao,2012/2013
Ander Herrera ,34,  M,182,71,29,0,2436,1,2,10,2,1.9,80.9,0.7,2,7.14,Athletic Bilbao,2012/2013
Gorka Iraizoz ,43,  GK,191,87,35,0,3150,0,0,4,0,0,64.7,0.5,1,7.01,Athletic Bilbao,2012/2013
Aymeric Laporte ,29,  D,189,86,14,1,1205,0,0,5,2,0.4,83.6,1.3,1,6.98,Athletic Bilbao,2012/2013
Mikel San Jose ,34,  D,188,78,23,11,2228,5,0,8,0,0.5,78.5,2.2,3,6.96,Athletic Bilbao,2012/2013
Fernando Amorebieta ,38,  D,192,85,10,1,888,0,0,4,1,0.6,78.8,2.8,0,6.95,Athletic Bilbao,2012/2013
Gurpegi ,43,  D,181,74,24,3,2048,1,0,14,0,0.2,85.9,2.1,0,6.91,Athletic Bilbao,2012/2013
Aritz Aduriz ,43,  FW,181,77,33,3,2594,14,6,11,1,2.3,72.5,2.6,2,6.89,Athletic Bilbao,2012/2013
Ekiza ,36,  D,180,73,23,1,2061,0,0,3,0,0.1,88.5,1.3,0,6.85,Athletic Bilbao,2012/2013
Inigo Perez ,36,  D,178,74,5,0,398,0,1,2,0,0.6,76.9,0.8,0,6.84,Athletic Bilbao,2012/2013
Oscar De Marcos ,34,  D,182,77,36,0,3144,6,3,14,0,1.7,77.8,1,0,6.8,Athletic Bilbao,2012/2013
Ibai Gomez ,34,  AM,177,72,17,18,1946,4,8,1,0,1.8,73.1,0.2,2,6.77,Athletic Bilbao,2012/2013
Ander Iturraspe ,35,  M,187,80,27,3,2252,0,1,12,1,0.4,81,2.3,1,6.73,Athletic Bilbao,2012/2013
Jon Aurtenetxe ,32,  D,182,82,24,3,2031,1,3,2,0,0.4,74.7,1.6,1,6.7,Athletic Bilbao,2012/2013
Andoni Iraola ,41,  D,182,75,34,1,3062,0,3,5,0,0.3,79.8,0.8,0,6.69,Athletic Bilbao,2012/2013
Iker Muniain ,31,  AM,170,65,27,6,2212,1,1,7,1,0.8,81.3,0.2,0,6.68,Athletic Bilbao,2012/2013
Xabier Castillo ,37,  D,184,75,3,4,297,0,0,0,0,0.4,68.7,1.1,0,6.58,Athletic Bilbao,2012/2013
Inigo Ruiz de Galarreta ,30,  DMC,175,69,0,3,140,0,1,0,0,0.7,84.2,0.3,0,6.56,Athletic Bilbao,2012/2013
Raul Fernandez ,36,  GK,195,92,3,0,270,0,0,0,0,0,68,0,0,6.55,Athletic Bilbao,2012/2013
Fernando Llorente ,39,  FW,193,90,4,22,869,4,1,2,0,1.4,70.4,1.5,1,6.49,Athletic Bilbao,2012/2013
Jonas Ramalho ,30,  D,181,68,4,2,347,0,0,0,0,0.3,78.5,0.3,0,6.45,Athletic Bilbao,2012/2013
Isma Lopez ,34,  D,180,74,6,2,481,0,0,0,0,0.3,76.4,0.3,0,6.38,Athletic Bilbao,2012/2013
Erik Moran ,32,  DMC,187,74,0,1,9,0,0,0,0,0,90,0,0,6.18,Athletic Bilbao,2012/2013
Igor Martinez ,34,  FW,169,68,0,3,107,0,0,1,0,0.7,72.5,0,0,6.18,Athletic Bilbao,2012/2013
Gaizka Toquero ,39,  AM,182,72,1,15,214,0,0,1,0,0.3,78.9,0.2,0,6.1,Athletic Bilbao,2012/2013
Javi Lopez ,38,  D,180,76,28,4,2553,1,0,8,1,0.4,63.4,1.2,2,7.09,Espanyol,2012/2013
Victor Sanchez ,36,  D,174,72,33,0,2740,1,1,17,1,0.8,75,2,1,7.06,Espanyol,2012/2013
Alvaro Vazquez ,32,  FW,182,75,2,0,143,1,0,0,0,3,77.8,0,0,7.04,Espanyol,2012/2013
Mubarak Wakaso ,33,  M,171,66,23,3,1904,3,6,13,2,1.7,73.2,0.8,1,7.02,Espanyol,2012/2013
Diego Colotto ,43,  D,184,83,28,0,2459,2,1,7,1,0.6,62.9,1.7,3,6.94,Espanyol,2012/2013
Hector Moreno ,36,  D,186,76,31,1,2772,2,2,8,1,0.4,76.2,2.4,1,6.91,Espanyol,2012/2013
Kiko Casilla ,37,  GK,190,86,20,1,1822,0,0,4,0,0,38.3,0.8,1,6.9,Espanyol,2012/2013
Juan Forlin ,36,  D,179,74,32,1,2771,0,0,16,1,0.3,72.6,3.2,0,6.85,Espanyol,2012/2013
Sergio Garcia ,40,  M,174,72,27,1,2405,7,5,4,1,2.1,65.6,0.4,2,6.84,Espanyol,2012/2013
Cristian Alvarez ,38,  GK,186,83,18,0,1598,0,0,6,0,0,49.3,0.2,1,6.84,Espanyol,2012/2013
Cristhian Stuani ,37,  AM,186,76,21,11,2157,7,4,14,0,1.5,59.5,3.1,0,6.81,Espanyol,2012/2013
Victor Alvarez ,31,  D,178,71,13,5,1146,0,2,1,1,0.2,67.6,1.2,0,6.72,Espanyol,2012/2013
Joan Verdu ,40,  M,178,71,36,1,3115,9,3,7,0,1.6,80.5,0.4,0,6.7,Espanyol,2012/2013
Raul Rodriguez ,36,  D,183,70,18,5,1686,0,0,4,1,0.3,78.8,1.7,2,6.68,Espanyol,2012/2013
Felipe Mattioni ,35,  D,180,75,4,2,372,0,0,2,0,0.2,79.3,0.3,0,6.6,Espanyol,2012/2013
Simao ,44,  M,170,64,18,8,1522,3,2,5,0,0.5,75.5,0.5,0,6.58,Espanyol,2012/2013
Joan Capdevila Mendez ,46,  D,182,78,25,1,2256,0,0,6,0,0.5,71.5,1,1,6.56,Espanyol,2012/2013
Raul Baena ,35,  M,181,72,11,8,1008,1,1,6,0,0.7,77.9,1.2,0,6.48,Espanyol,2012/2013
Samuele Longo ,32,  FW,185,78,11,7,999,3,0,3,1,1.5,55.9,0.9,0,6.43,Espanyol,2012/2013
Rui Fonte ,33,  M,181,73,5,5,488,0,0,2,0,1,74.5,1.3,0,6.42,Espanyol,2012/2013
Cristian Gomez ,34,  M,181,75,8,8,727,0,1,3,0,0.3,86.1,0.4,0,6.23,Espanyol,2012/2013
Cristian Alfonso ,34,  Midfielder,183,77,2,11,302,0,0,1,0,0.4,64.8,0.2,0,6.23,Espanyol,2012/2013
Sergio Tejera ,33,  D,180,75,3,9,326,1,0,5,0,0.7,76,0.4,0,6.22,Espanyol,2012/2013
Juan Angel Albin ,37,  AM,179,77,2,5,217,1,0,1,1,0.9,75,0.6,0,6.17,Espanyol,2012/2013
Martin Petrov ,45,  M,180,77,0,8,126,0,1,0,0,0.5,73,0,0,6.15,Espanyol,2012/2013
Patrick Ebert ,36,  M,176,68,22,1,1809,6,7,4,0,3,73.3,1.7,4,7.46,Real Valladolid,2012/2013
Dani Hernandez ,38,  GK,196,89,24,0,2160,0,0,1,0,0,52.2,0.8,2,7.1,Real Valladolid,2012/2013
Manucho ,41,  FW,190,84,19,6,1659,8,3,3,1,1.8,60.5,6.8,2,7.08,Real Valladolid,2012/2013
Jaime ,43,  GK,188,80,14,0,1260,0,0,1,0,0,63,0.4,1,7,Real Valladolid,2012/2013
Victor Perez ,36,  M,177,71,24,1,2164,4,0,4,0,0.7,81.3,1,1,6.94,Real Valladolid,2012/2013
Mikel Balenziaga ,36,  D,177,76,32,0,2871,0,1,3,0,0.1,73,1.1,1,6.93,Real Valladolid,2012/2013
Henrique Sereno ,38,  D,187,78,19,1,1676,1,0,5,1,0.4,73.5,2.5,0,6.86,Real Valladolid,2012/2013
Jesus Rueda ,37,  D,186,81,26,2,2411,0,0,3,0,0.1,81.1,1.4,0,6.83,Real Valladolid,2012/2013
Marc Valiente ,36,  D,187,71,28,0,2408,0,1,4,0,0.3,85.4,1.8,1,6.83,Real Valladolid,2012/2013
Oscar ,41,  AM,175,77,33,2,2948,12,7,6,0,1.5,80.4,0.6,3,6.83,Real Valladolid,2012/2013
Carlos Pena ,40,  D,181,80,11,6,1056,0,1,3,0,0.4,75.5,1.1,0,6.82,Real Valladolid,2012/2013
Omar Ramos ,36,  AM,175,66,29,5,2440,1,5,5,0,0.9,81.6,0.6,0,6.78,Real Valladolid,2012/2013
Antonio Rukavina ,40,  D,177,74,37,0,3315,1,2,4,1,0.4,75.6,0.3,0,6.66,Real Valladolid,2012/2013
Alvaro Rubio ,44,  M,180,67,34,1,2839,0,2,8,0,0.4,84.9,1,0,6.66,Real Valladolid,2012/2013
Javi Guerra ,42,  FW,178,76,17,13,1607,8,0,4,0,1.2,78.6,2.1,1,6.62,Real Valladolid,2012/2013
Daniel Larsson ,37,  AM,176,77,17,1,1414,0,1,2,0,0.9,76.4,0.1,0,6.59,Real Valladolid,2012/2013
Bueno ,35,  AM,179,67,14,19,1452,5,4,4,0,1.1,78.4,0.1,1,6.57,Real Valladolid,2012/2013
Lluis Sastre ,37,  DMC,174,71,13,16,1373,1,0,10,0,0.4,83.1,0.7,0,6.42,Real Valladolid,2012/2013
Javier Baraja ,43,  M,179,79,3,9,334,1,0,1,0,0.3,76.4,0.4,0,6.36,Real Valladolid,2012/2013
Ruben Pena ,32,  D,170,65,0,4,78,0,0,0,0,0.5,71.1,0.5,0,6.3,Real Valladolid,2012/2013
Valdet Rama ,36,  AM,182,77,1,4,134,0,0,0,0,0.4,77.5,0.6,0,6.26,Real Valladolid,2012/2013
Juan Angel Neira ,35,  Midfielder,179,74,1,6,101,0,0,1,0,0.4,80.4,0.3,0,6.17,Real Valladolid,2012/2013
Lolo Pla ,30,  Forward,182,78,0,7,92,0,0,1,0,0.7,58.8,0.1,0,6.16,Real Valladolid,2012/2013
Diego Mainz ,41,  D,187,79,26,1,2367,1,0,2,0,0.3,82.4,4.1,3,7.27,Granada,2012/2013
Manuel Lucena ,41,  Defender,186,77,2,0,180,0,0,0,0,1,75,3,0,7.14,Granada,2012/2013
Nolito ,37,  AM,175,65,17,0,1454,3,1,2,0,2.4,74.2,0.2,3,7.05,Granada,2012/2013
Dani Benitez ,36,  AM,171,69,9,0,723,1,1,3,0,2.7,63.5,2,0,7.05,Granada,2012/2013
Guilherme Siqueira ,37,  D,182,81,35,0,2996,6,3,6,1,0.6,69.9,0.9,4,7.01,Granada,2012/2013
Roberto Fernandez ,45,  GK,181,76,14,0,1260,0,1,3,0,0,35.5,0.5,0,6.93,Granada,2012/2013
Allan Nyom ,35,  D,188,78,35,0,2960,0,2,9,0,0.5,70.8,0.7,0,6.89,Granada,2012/2013
Tono ,44,  GK,182,81,25,0,2250,0,0,3,0,0,42.1,0.4,1,6.86,Granada,2012/2013
Yacine Brahimi ,34,  M,172,68,21,6,1850,0,1,6,1,1.4,84.6,0.1,1,6.83,Granada,2012/2013
Recio ,33,  M,183,74,14,1,1252,2,0,5,0,0.8,81,1.2,0,6.83,Granada,2012/2013
Mikel Rico ,39,  M,179,75,38,0,3342,2,0,4,1,0.9,81.6,0.6,1,6.82,Granada,2012/2013
