ID,Player,Nationality,Country
2270,X.Etxeita,ESP,Spain
2271,X.Irureta,ESP,Spain
2272,X.Navarro,ESP,Spain
2273,X.Prieto,ESP,Spain
2274,X.Quintilla,ESP,Spain
2275,X.Regis,ESP,Spain
2276,X.Torres,ESP,Spain
2277,Xavi,ESP,Spain
2278,Xisco,ESP,Spain
2279,Y.Alvarez,ESP,Spain
2280,Y.Berchiche,ESP,Spain
2281,Y.Bodiger,FRA,France
2282,Y.Bounou,MAR,Morocco
2283,Y.Brahimi,ALG,Algeria
2284,Y.Carrasco,BEL,Belgium
2285,Y.Couto,BRA,Brazil
2286,Y.Demir,AUT,Austria
2287,Y.Diarra,MLI,Mali
2288,Y.El Arabi,MAR,Morocco
2289,Y.En-Nesyri,MAR,Morocco
2290,Y.Eteki,CMR,Cameroon
2291,Y.Herrera,VEN,Venezuela
2292,Y.Kone,MLI,Mali
2293,Y.Konoplyanka,UKR,Ukraine
2294,Y.Mina,COL,Colombia
2295,Y.Mollo,FRA,France
2296,Y.Musah,USA,United States of America
2297,Y.Muto,JPN,Japan
2298,Y.Pino,ESP,Spain
2299,Y.Qasmi,MAR,Morocco
2300,Y.Sabaly,SEN,Senegal
2301,Y.Salibur,FRA,France
2302,Yoel,ESP,Spain
2303,Z.Bakkali,BEL,Belgium
2304,Z.Bergdich,MAR,Morocco
2305,Z.Chengdong,CHN,China
2306,Z.Feddal,MAR,Morocco
2307,Z.Kuzmanovic,SRB,Serbia
2308,Ze Castro,PRT,Portugal
2309,Zubi,ESP,Spain
