ID,Player,Nationality,Country
442,C.Vigaray,ESP,Spain
443,C.Wilk,POL,Poland
444,C.Zapata,COL,Colombia
445,Cala,ESP,Spain
446,Calderon,ESP,Spain
447,Cani,ESP,Spain
448,Cardenas,ESP,Spain
449,Carlo,ESP,Spain
450,Carmona,ESP,Spain
451,Casemiro,BRA,Brazil
452,Casto,ESP,Spain
453,Catena,ESP,Spain
454,Chapela,ESP,Spain
455,Charles,BRA,Brazil
456,Chechu,ESP,Spain
457,Chema,ESP,Spain
458,Chori Dominguez,ARG,Argentina
459,Christian,ESP,Spain
460,Chuca,ESP,Spain
461,Chuli,ESP,Spain
462,Churripi,ESP,Spain
463,Cicinho,BRA,Brazil
464,Cifu,ESP,Spain
465,Coke,ESP,Spain
466,Copete,ESP,Spain
467,Corona,ESP,Spain
468,Cristo,ESP,Spain
469,Cucho,COL,Colombia
470,Curro,ESP,Spain
471,D.Abella,ESP,Spain
472,D.Abraham,ARG,Argentina
473,D.Alaba,AUT,Austria
474,D.Alba,ESP,Spain
475,D.Albelda,ESP,Spain
476,D.Alende,ESP,Spain
477,D.Alves,BRA,Brazil
478,D.Alves,BRA,Brazil
479,D.Aouate,ISR,Israel
480,D.Aquino,ESP,Spain
481,D.Aranzubia,ESP,Spain
482,D.Barbosa,BRA,Brazil
483,D.Barral,ESP,Spain
484,D.Barrios,ESP,Spain
485,D.Benedetto,ARG,Argentina
486,D.Benitez,ESP,Spain
487,D.Benito Rey,ESP,Spain
488,D.Boateng,GHA,Ghana
489,D.Bonera,ITA,Italy
490,D.Boyko,UKR,Ukraine
491,D.Brasanac,SRB,Serbia
492,D.Buonanotte,ARG,Argentina
493,D.Calvo,ESP,Spain
494,D.Candeias,PRT,Portugal
495,D.Carlos,BRA,Brazil
496,D.Carmona,ESP,Spain
497,D.Carrico,PRT,Portugal
498,D.Carvajal,ESP,Spain
499,D.Castellano,ESP,Spain
500,D.Castro,ESP,Spain
501,D.Ceballos,ESP,Spain
502,D.Cheryshev,RUS,Russia
503,D.Cisma,ESP,Spain
504,D.Cobeno,ESP,Spain
505,D.Collado,ESP,Spain
506,D.Colotto,ARG,Argentina
507,D.Concha,ESP,Spain
508,D.Conde,ESP,Spain
509,D.Cop,CRO,Croatia
510,D.Cortes,ESP,Spain
511,D.Costa,ESP,Spain
512,D.Costas,ESP,Spain
513,D.Dakonam,TGO,Togo
514,D.Digard,FRA,France
515,D.Drazic,SRB,Serbia
516,D.Duarte,PRT,Portugal
517,D.Dudka,POL,Poland
518,D.Eckert,GER,Germany
519,D.Escriche,ESP,Spain
520,D.Estrada,ESP,Spain
521,D.Ferreiro,ESP,Spain
522,D.Figueiras,PRT,Portugal
523,D.Foulquier,FRA,France
524,D.Garcia,ESP,Spain
525,D.Garcia,ESP,Spain
526,D.Generelo,ESP,Spain
527,D.Gil,ESP,Spain
528,D.Gimenez,ESP,Spain
529,D.Godin,URY,Uruguay
530,D.Goldar,ESP,Spain
531,D.Gomez,ESP,Spain
532,D.Gonzalez,ESP,Spain
533,D.Greif,SVK,Slovakia
534,D.Guiza,ESP,Spain
535,D.Hadzikadunic,BIH,Bosnia and Herzegovina
536,D.Hernandez,VEN,Venezuela
537,D.Ifran,URY,Uruguay
538,D.Iturralde,ESP,Spain
539,D.Junca,ESP,Spain
540,D.Kadzior,POL,Poland
541,D.Lainez,MEX,Mexico
542,D.Larsson,SWE,Sweden
543,D.Lekic,SRB,Serbia
544,D.Llorente,ESP,Spain
545,D.Lomban,ESP,Spain
546,D.Lopez,ESP,Spain
547,D.Lopez,ESP,Spain
548,D.Lugano,URY,Uruguay
549,D.Luiz,BRA,Brazil
550,D.Machis,VEN,Venezuela
551,D.Mainz,ESP,Spain
552,D.Marino,ESP,Spain
553,D.Martin,ESP,Spain
554,D.Mateos,ESP,Spain
555,D.Mendez,ESP,Spain
556,D.Molina Orta,ESP,Spain
557,D.Moreno,ESP,Spain
558,D.Musto,ARG,Argentina
559,D.Navarro,ESP,Spain
560,D.Ndi,CMR,Cameroon
561,D.Nieto,ESP,Spain
562,D.Ojeda,ESP,Spain
563,D.Pabon,COL,Colombia
564,D.Pacheco,ESP,Spain
565,D.Parejo,ESP,Spain
566,D.Perotti,ARG,Argentina
567,D.Perquis,POL,Poland
568,D.Pinillos,ESP,Spain
569,D.Plomer,ESP,Spain
570,D.Poveda,ESP,Spain
571,D.Pranji,CRO,Croatia
572,D.Pranjic,CRO,Croatia
573,D.Quina,PRT,Portugal
574,D.Raba,ESP,Spain
575,D.Reyes,MEX,Mexico
576,D.Rico,ESP,Spain
577,D.Rodriguez,ESP,Spain
578,D.Rodriguez,ESP,Spain
579,D.Roef,BEL,Belgium
580,D.Rolan,URY,Uruguay
581,D.Romera,ESP,Spain
582,D.Salomao,PRT,Portugal
583,D.Silva,ESP,Spain
584,D.Simon,ESP,Spain
585,D.Siovas,GRE,Greece
586,D.Soria,ESP,Spain
587,D.Sotres,ESP,Spain
588,D.Sousa,PRT,Portugal
589,D.Suarez,URY,Uruguay
590,D.Suarez,ESP,Spain
591,D.Timor,ESP,Spain
592,D.Torres,COL,Colombia
593,D.Torres,ESP,Spain
594,D.Tosic,SRB,Serbia
595,D.Vavro,SVK,Slovakia
596,D.Verde,ITA,Italy
597,D.Vila,ESP,Spain
598,D.Villa,ESP,Spain
599,D.Villahermosa,ESP,Spain
600,D.Vivian,ESP,Spain
601,D.Wass,DEN,Denmark
602,D.Zurutuza,ESP,Spain
603,Danilo,BRA,Brazil
604,Deivid,ESP,Spain
605,Deyverson,BRA,Brazil
606,Diego,BRA,Brazil
607,Doria,BRA,Brazil
608,Douglas,BRA,Brazil
609,Duda,PRT,Portugal
610,E.Abidal,FRA,France
611,E.Albacar,ESP,Spain
612,E.Amagat,ESP,Spain
613,E.Apeh,NGA,Nigeria
614,E.Armenteros,ARG,Argentina
615,E.Avila,ARG,Argentina
616,E.Badia,ESP,Spain
617,E.Bailly,CIV,Ivory Coast
618,E.Banega,ARG,Argentina
619,E.Bardhi,MKD,North Macedonia
620,E.Bedia,ESP,Spain
621,E.Belozoglu,TUR,Turkey
622,E.Boateng,GHA,Ghana
623,E.Boveda,ESP,Spain
624,E.Buendia,ARG,Argentina
625,E.Burgos,ARG,Argentina
626,E.Cabaco,URY,Uruguay
627,E.Caballer,ESP,Spain
628,E.Calvente,ESP,Spain
629,E.Camavinga,FRA,France
630,E.Capilla,ESP,Spain
631,E.Capoue,FRA,France
632,E.Cavani,URY,Uruguay
633,E.Cecchini,ARG,Argentina
634,E.Colak,TUR,Turkey
635,E.Comert,SUI,Switzerland
636,E.Culio,ARG,Argentina
637,E.De Lucas,ESP,Spain
638,E.Demirovic,BIH,Bosnia and Herzegovina
639,E.Echiejile,NGA,Nigeria
640,E.Exposito,ESP,Spain
641,E.Exposito,ESP,Spain
642,E.Fabiano,BRA,Brazil
643,E.Falcon,ESP,Spain
644,E.Filipenko,BLR,Belarus
645,E.Fraga,BRA,Brazil
646,E.Franquesa,ESP,Spain
647,E.Galan,ESP,Spain
648,E.Gallego,ESP,Spain
649,E.Garay,ARG,Argentina
650,E.Garcia,ESP,Spain
651,E.Gonzalez,ESP,Spain
652,E.Granero,ESP,Spain
653,E.Hazard,BEL,Belgium
654,E.Insua,ARG,Argentina
655,E.Insua,ARG,Argentina
656,E.Juarez,MEX,Mexico
657,E.Lamela,ARG,Argentina
658,E.Mangala,FRA,France
659,E.Maresca,ITA,Italy
660,E.Martinez,ARG,Argentina
661,E.Mendez,ESP,Spain
662,E.Mendia,ESP,Spain
663,E.Militao,BRA,Brazil
664,E.Mor,TUR,Turkey
665,E.Moran,ESP,Spain
666,E.Munoz,ARG,Argentina
667,E.Nsue,GNQ,Equatorial Guinea
668,E.Oriol,ESP,Spain
669,E.Perez,ARG,Argentina
670,E.Ponce,ARG,Argentina
671,E.Ramos,ESP,Spain
672,E.Rescaldani,ARG,Argentina
673,E.Rigoni,ARG,Argentina
674,E.Riviere,FRA,France
675,E.Roco,CHL,Chile
676,E.Rolon,ARG,Argentina
677,E.Saborit,ESP,Spain
678,E.Salvio,ARG,Argentina
679,E.Satrustegui,ESP,Spain
680,E.Saveljich,MNE,Montenegro
681,E.Sevikyan,ARM,Armenia
682,E.Silvestre,AZE,Azerbaijan
683,E.Sola,ESP,Spain
684,E.Spahic,BIH,Bosnia and Herzegovina
685,E.Unal,TUR,Turkey
686,E.Valderrama,ESP,Spain
687,E.Vargas,CHL,Chile
688,E.Velazquez,URY,Uruguay
689,E.Vilarchao,ESP,Spain
690,E.Zidane,ESP,Spain
691,E.Zubikarai,ESP,Spain
692,El Bilal Toure,MLI,Mali
693,Eliseu,PRT,Portugal
694,Emerson,BRA,Brazil
695,Estanis,ESP,Spain
696,Esteban,ESP,Spain
697,F. Beltran,ESP,Spain
698,F. Bradaric,CRO,Croatia
699,F. Coquelin,FRA,France
700,F. Corominas,ESP,Spain
701,F. Delgado,ESP,Spain
702,F. Ferreira,PRT,Portugal
703,F. Gamez,ESP,Spain
704,F. Garcia,ESP,Spain
705,F. Guerrero,ESP,Spain
706,F. Jorgensen,DEN,Denmark
707,F. Malbasic,SRB,Serbia
708,F. Manzanara,ESP,Spain
709,F. Merida,ESP,Spain
710,F. Molinero,ESP,Spain
711,F. Montero,ESP,Spain
712,F. Mwepu,ZMB,Zambia
713,F. Perez,ESP,Spain
714,F. PRTtillo,ESP,Spain
715,F. Punal,ESP,Spain
716,F. Rico,ESP,Spain
717,F. Serrano,ESP,Spain
718,F. Silva,CHL,Chile
719,F. Sol,ESP,Spain
720,F. Torres,ESP,Spain
721,F. Trincao,PRT,Portugal
722,F. Uzoho,NGA,Nigeria
723,F. Varela,ESP,Spain
724,F. Velez,ESP,Spain
725,F. Villalba,ESP,Spain
726,F.Al Muwallad,KSA,Saudi Arabia
727,F.Amorebieta,VEN,Venezuela
728,F.Andone,ROU,Romania
729,F.Angileri,ARG,Argentina
730,F.Augusto,BRA,Brazil
731,F.Barba,ITA,Italy
732,F.Caicedo,ECU,Ecuador
733,F.Calero,ESP,Spain
734,F.Cartabia,ARG,Argentina
735,F.Cervi,ARG,Argentina
736,F.Coentrao,PRT,Portugal
737,F.De Jong,NLD,Netherlands
738,F.Di Santo,ARG,Argentina
739,F.Espinho,PRT,Portugal
740,F.Fajr,MAR,Morocco
741,F.Fazio,ARG,Argentina
742,F.Fernandez,ARG,Argentina
743,F.Ferreira,PRT,Portugal
744,F.Ferreyra,ARG,Argentina
745,F.Fragapane,ARG,Argentina
746,F.Gago,ARG,Argentina
747,F.Garreta,ESP,Spain
748,F.Gonzalez,ESP,Spain
749,F.Gutierrez,CHL,Chile
750,F.Hinestroza,COL,Colombia
751,F.Jara,ARG,Argentina
752,F.Kadir,ALG,Algeria
753,F.Kanoute,MLI,Mali
754,F.Kessie,CIV,Ivory Coast
755,F.Lejeune,FRA,France
756,F.Llorente,ESP,Spain
757,F.Luis,BRA,Brazil
758,F.Luis,PRT,Portugal
759,F.Mattioni,BRA,Brazil
760,F.Medrano,ESP,Spain
761,F.Meira,PRT,Portugal
762,F.Mendy,FRA,France
763,F.Mendy,GNB,Guinea-Bissau
764,F.Navarro,ESP,Spain
765,F.Nino,ESP,Spain
766,F.Olinga,CMR,Cameroon
767,F.Orellana,CHL,Chile
768,F.Pacheco,ESP,Spain
769,F.Pellistri,URY,Uruguay
770,F.Piovaccari,ITA,Italy
771,F.Poulolo,MTQ,Martinique
772,F.Ricca,URY,Uruguay
773,F.Roncaglia,ARG,Argentina
774,F.Rossi,ITA,Italy
775,F.Ruiz,ESP,Spain
776,F.Russo,ARG,Argentina
777,F.San Emeterio,ESP,Spain
778,F.Schar,SUI,Switzerland
779,F.Smolov,RUS,Russia
780,F.Soriano,ESP,Spain
781,F.Tabanou,FRA,France
782,F.Tienza,ESP,Spain
783,F.Tissone,ARG,Argentina
784,F.Torres,ESP,Spain
785,F.Valverde,URY,Uruguay
786,F.Vazquez,ARG,Argentina
787,F.Vico,ESP,Spain
788,F.Zambo Anguissa,CMR,Cameroon
789,F.Zuculini,ARG,Argentina
790,Fabinho,BRA,Brazil
791,Fabricio,ESP,Spain
792,Fali,ESP,Spain
793,Felipe,BRA,Brazil
794,Fernando,ESP,Spain
795,Fernando ,BRA,Brazil
796,Fidel,ESP,Spain
797,Francis,ESP,Spain
798,Fuentes,ESP,Spain
799,G.Alvarez,URY,Uruguay
800,G.Arana,BRA,Brazil
801,G.Arlauskis,LTU,Lithuania
802,G.Arnolin,MTQ,Martinique
803,G.Bale,WAL,Wales
804,G.Bordas,ESP,Spain
805,G.Cabral,ARG,Argentina
806,G.Carrillo,ARG,Argentina
807,G.Castellani,ARG,Argentina
808,G.Causic,SRB,Serbia
809,G.Colsa,ESP,Spain
810,G.Deulofeu,ESP,Spain
811,G.Dias,PRT,Portugal
812,G.Dos Santos,MEX,Mexico
813,G.Elustondo,ESP,Spain
814,G.Escalante,ARG,Argentina
815,G.Fernandez,URY,Uruguay
816,G.Garcia,COL,Colombia
817,G.Gonzalez,URY,Uruguay
818,G.Guedes,PRT,Portugal
819,G.Gumbau,ESP,Spain
820,G.Guruzeta,ESP,Spain
821,G.Higuain,ARG,Argentina
822,G.Imbula,COD,Congo Democratic Republic
823,G.Iraizoz,ESP,Spain
824,G.Kakuta,COD,Congo Democratic Republic
825,G.Kochorashvili,GEO,Georgia
826,G.Kondogbia,CTA,Central African Republic
827,G.Krychowiak,POL,Poland
828,G.Lo Celso,ARG,Argentina
829,G.Loovens,NLD,Netherlands
830,G.Lux,ARG,Argentina
831,G.Mamardashvili,GEO,Georgia
832,G.Maripan,CHL,Chile
833,G.Martins,PRT,Portugal
834,G.Medel,CHL,Chile
835,G.Melero,ESP,Spain
836,G.Mercado,ARG,Argentina
837,G.Molina,ESP,Spain
838,G.Molins,SWE,Sweden
839,G.Montiel,ARG,Argentina
840,G.Moreno,ESP,Spain
841,G.Munua,URY,Uruguay
842,G.Ochoa,MEX,Mexico
843,G.Paciencia,PRT,Portugal
844,G.Panadero,ESP,Spain
845,G.Parreno,ESP,Spain
846,G.Paulista,BRA,Brazil
847,G.Pazzini,ITA,Italy
848,G.Penalba,ARG,Argentina
849,G.Pezzella,ARG,Argentina
850,G.Pique,ESP,Spain
851,G.Pizarro,ARG,Argentina
852,G.Plata,ECU,Ecuador
853,G.Rodrigues,CPV,Cabo Verde
854,G.Rodriguez,ARG,Argentina
855,G.Rodriguez,ARG,Argentina
856,G.Rossi,ITA,Italy
857,G.Rulli,ARG,Argentina
858,G.Sanchez,ESP,Spain
859,G.Sangoy,ARG,Argentina
860,G.Sara,ARG,Argentina
861,G.Shibasaki,JPN,Japan
862,G.Silva,BRA,Brazil
863,G.Silva,URY,Uruguay
864,G.Simeone,ARG,Argentina
865,G.Siqueira,BRA,Brazil
866,G.Toquero,ESP,Spain
867,G.Torje,ROU,Romania
868,G.Valentin,ESP,Spain
869,G.Valera,ESP,Spain
870,G.Veiga,ESP,Spain
871,G.Verdu,ESP,Spain
872,G.Villar,ESP,Spain
873,G.Zuiverloon,NLD,Netherlands
874,Gabi,ESP,Spain
875,Gabriel,BRA,Brazil
876,Ganso,BRA,Brazil
877,Gavi,ESP,Spain
878,Gonzalo,ESP,Spain
879,Gori,ESP,Spain
880,Guilherme,BRA,Brazil
881,Guillermo,ESP,Spain
882,H.Almeida,BRA,Brazil
883,H.Altintop,TUR,Turkey
884,H.Alvarez,ESP,Spain
885,H.Barbosa,PRT,Portugal
886,H.Barmettler,DOM,Dominican Republic
887,H.Bellerin,ESP,Spain
888,H.Ben Arfa,FRA,France
889,H.Bienvenu,CMR,Cameroon
890,H.Costa,ANG,Angola
891,H.Duro,ESP,Spain
892,H.Fortes,PRT,Portugal
893,H.Fraile,ESP,Spain
894,H.Goitom,ERI,Eritrea
895,H.Guillamon,ESP,Spain
896,H.Hassan,FRA,France
897,H.Hernandez,ESP,Spain
898,H.Herrera,MEX,Mexico
899,H.Ibusuki,JPN,Japan
900,H.Khaloua,MAR,Morocco
901,H.Kiyotake,JPN,Japan
902,H.Lopes,PRT,Portugal
903,H.Maduro,NLD,Netherlands
904,H.Mallo,ESP,Spain
905,H.Martinez,CHL,Chile
906,H.Mastour,MAR,Morocco
907,H.Medunjanin,BIH,Bosnia and Herzegovina
908,H.Mendes,GNB,Guinea-Bissau
909,H.Moreno,MEX,Mexico
910,H.Osorio,COL,Colombia
911,H.Palacios,COL,Colombia
912,H.Pellerano,ARG,Argentina
913,H.Perez,PAR,Paraguay
914,H.Postiga,PRT,Portugal
915,H.Ramos,CPV,Cabo Verde
916,H.Rodas,ESP,Spain
917,H.Seferovic,SUI,Switzerland
918,H.Sereno,PRT,Portugal
919,H.Sotelo,ESP,Spain
920,H.Toledo,ARG,Argentina
921,H.Westermann,GER,Germany
922,H.Yebda,ALG,Algeria
923,H.Yuste,ESP,Spain
924,Hacen,MTN,Mauritania
925,Hector,ESP,Spain
926,Hernan,ESP,Spain
927,I.Afellay,NLD,Netherlands
928,I.Agirretxe,ESP,Spain
929,I.Akhomach,MAR,Morocco
930,I.Alejo,ESP,Spain
931,I.Amadou,FRA,France
932,I.Ansotegi,ESP,Spain
933,I.Aspas,ESP,Spain
934,I.Baba,GHA,Ghana
935,I.Balde,SEN,Senegal
936,I.Balliu,ALB,Albania
937,I.Barrenetxea,ESP,Spain
938,I.Benito,ESP,Spain
939,I.Bouzon,ESP,Spain
940,I.Camacho,ESP,Spain
941,I.Carcelen,ESP,Spain
942,I.Casillas,ESP,Spain
943,I.Cavaleiro,PRT,Portugal
944,I.Cordoba,ESP,Spain
945,I.Corral,ESP,Spain
946,I.Cuellar,ESP,Spain
947,I.Cuenca,ESP,Spain
948,I.Doumbia,CIV,Ivory Coast
949,I.Echaide,ESP,Spain
950,I.Eguaras,ESP,Spain
951,I.El Adoua,MAR,Morocco
952,I.Ezekiel,NGA,Nigeria
953,I.Falque,ESP,Spain
954,I.Fresneda,ESP,Spain
955,I.Gabilondo,ESP,Spain
956,I.Garcia,ESP,Spain
957,I.Goitia,ESP,Spain
958,I.Gomez,ESP,Spain
959,I.Gomez,ESP,Spain
960,I.Gonzalez,ESP,Spain
961,I.Grbic,CRO,Croatia
962,I.Hajrovic,BIH,Bosnia and Herzegovina
963,I.Hernandez,ESP,Spain
964,I.Hernandez,ESP,Spain
965,I.Herrerin,ESP,Spain
966,I.Koybasi,TUR,Turkey
967,I.Lekue,ESP,Spain
968,I.Lichnovsky,CHL,Chile
969,I.Lopez,ESP,Spain
970,I.Lopez,ESP,Spain
971,I.Lopez,ESP,Spain
972,I.Marcone,ARG,Argentina
973,I.Marquez,ESP,Spain
974,I.Martin,ESP,Spain
975,I.Martinez,ESP,Spain
976,I.Martinez,ESP,Spain
977,I.Miquel,ESP,Spain
978,I.Moriba,GUI,Guinea
979,I.Muniain,ESP,Spain
980,I.Munoz,ESP,Spain
981,I.Obradovic,SRB,Serbia
982,I.Palazon,ESP,Spain
983,I.Pena,ESP,Spain
984,I.Perez,ESP,Spain
985,I.Puerto,ESP,Spain
986,I.Rakitic,CRO,Croatia
987,I.Ramis,ESP,Spain
988,I.Rodriguez,ESP,Spain
989,I.Romero,ESP,Spain
990,I.Ruiz,ESP,Spain
991,I.Ruiz De Galarreta,ESP,Spain
992,I.Sanchez,ESP,Spain
993,I.Saponjic,SRB,Serbia
994,I.Sarriegi,ESP,Spain
995,I.Success,NGA,Nigeria
996,I.Uche,NGA,Nigeria
997,I.Vicente,ESP,Spain
998,I.Villar,ESP,Spain
999,I.Williams,GHA,Ghana
1000,I.Zubeldia,ESP,Spain
1001,Iglesias,ESP,Spain
1002,Iriney,BRA,Brazil
1003,Isco,ESP,Spain
1004,Ismael,ESP,Spain
1005,Ivi,ESP,Spain
1006,J.A.Albin,URY,Uruguay
1007,J.A.Caro,ESP,Spain
1008,J.A.de la Rosa,ESP,Spain
1009,J.A.Reyes,ESP,Spain
1010,J.Acuna,PAR,Paraguay
1011,J.Agirrezabala,ESP,Spain
1012,J.Aguilera,ESP,Spain
1013,J.Aidoo,GHA,Ghana
1014,J.Alamo,ESP,Spain
1015,J.Alamo,ESP,Spain
1016,J.Alba,ESP,Spain
1017,J.Alonso,ESP,Spain
1018,J.Alonso,ESP,Spain
1019,J.Alonso,PAR,Paraguay
1020,J.Amat,IDN,Indonesia
1021,J.Amavi,FRA,France
1022,J.Angel,ESP,Spain
1023,J.Antonio,ESP,Spain
1024,J.Aquino,MEX,Mexico
1025,J.Areso,ESP,Spain
1026,J.Arizmendi,ESP,Spain
1027,J.Arnaiz,ESP,Spain
1028,J.Aurtenetxe,ESP,Spain
1029,J.Aviles,ESP,Spain
1030,J.Baptista,BRA,Brazil
1031,J.Baraja,ESP,Spain
1032,J.Barkero,ESP,Spain
1033,J.Bautista,ESP,Spain
1034,J.Bernat,ESP,Spain
1035,J.Boga,CIV,Ivory Coast
1036,J.Brandariz,ESP,Spain
1037,J.Brunet,ARG,Argentina
1038,J.C.Lazo,ESP,Spain
1039,J.C.Silva Rocha,BRA,Brazil
1040,J.C.Todibo,FRA,France
1041,J.C.Valeron,ESP,Spain
1042,J.Calatayud,ESP,Spain
1043,J.Calavera,ESP,Spain
1044,J.Calleja,ESP,Spain
1045,J.Callejon,ESP,Spain
1046,J.Calleri,ARG,Argentina
1047,J.Camacho,ESP,Spain
1048,J.Campana,ESP,Spain
1049,J.Campbell,CRC,Costa Rica
1050,J.Camunas,ESP,Spain
1051,J.Canas,ESP,Spain
1052,J.Cancelo,PRT,Portugal
1053,J.Capdevila,ESP,Spain
1054,J.Carlos,ESP,Spain
1055,J.Carlos,ESP,Spain
1056,J.Casado,ESP,Spain
1057,J.Casquero,ESP,Spain
1058,J.Castellano,ESP,Spain
1059,J.Castro,ESP,Spain
1060,J.Catala,ESP,Spain
1061,J.Cesar,BRA,Brazil
1062,J.Chica,ESP,Spain
1063,J.Cillessen,NLD,Netherlands
1064,J.Codina,ESP,Spain
1065,J.Cordoba,COL,Colombia
1066,J.Corona,MEX,Mexico
1067,J.Correa,ARG,Argentina
1068,J.Costa,ESP,Spain
1069,J.Crespo,ESP,Spain
1070,J.Cruz,ESP,Spain
1071,J.Cruz,ESP,Spain
1072,J.Cuenca,ESP,Spain
1073,J.Cuesta,ESP,Spain
1074,J.Datolo,ARG,Argentina
1075,J.de Frutos,ESP,Spain
1076,J.de Guzman,NLD,Netherlands
1077,J.Diaz,ESP,Spain
1078,J.Domenech,ESP,Spain
1079,J.Dominguez,ESP,Spain
1080,J.Donald,ESP,Spain
1081,J.dos Santos,MEX,Mexico
1082,J.El Yamiq,MAR,Morocco
1083,J.Entrena,ESP,Spain
1084,J.Eraso,ESP,Spain
1085,J.Errasti,ESP,Spain
1086,J.Escude,FRA,France
1087,J.Espinosa,ESP,Spain
1088,J.Ezkieta,ESP,Spain
1089,J.Farinos,ESP,Spain
1090,J.Felix,PRT,Portugal
1091,J.Fernandez,ESP,Spain
1092,J.Fernandez,ESP,Spain
1093,J.Firpo,ESP,Spain
1094,J.Flano,ESP,Spain
1095,J.Flores,ESP,Spain
1096,J.Fontan,ESP,Spain
1097,J.Forlin,ARG,Argentina
1098,J.Foyth,ARG,Argentina
1099,J.Fuego,ESP,Spain
1100,J.Galan,ESP,Spain
1101,J.Gamez,ESP,Spain
1102,J.Garcia,ESP,Spain
1103,J.Garcia,ESP,Spain
1104,J.Garcia,ESP,Spain
1105,J.Garcia,ESP,Spain
1106,J.Garrido,ESP,Spain
1107,J.Garrido,ESP,Spain
1108,J.Gavilan,ESP,Spain
1109,J.Gaya,ESP,Spain
1110,J.Gaya,ESP,Spain
1111,J.Gaztanaga,ESP,Spain
1112,J.Geis,GER,Germany
1113,J.Gimenez,URY,Uruguay
1114,J.Gnagnon,FRA,France
1115,J.Gracia,ESP,Spain
1116,J.Gragera,ESP,Spain
1117,J.Grau,ESP,Spain
1118,J.Guerra,ESP,Spain
1119,J.Guerra,ESP,Spain
1120,J.Guidetti,SWE,Sweden
1121,J.Guilavogui,FRA,France
1122,J.Guridi,ESP,Spain
1123,J.Gutierrez,ARG,Argentina
1124,J.Hernandez,ESP,Spain
1125,J.Hernandez,MEX,Mexico
1126,J.Hernandez,ESP,Spain
1127,J.Herrando,ESP,Spain
1128,J.Hervas,ESP,Spain
1129,J.Higon,ESP,Spain
1130,J.Holsgrove,SCO,Scotland
1131,J.Isidoro,ESP,Spain
1132,J.Isuardi,ESP,Spain
1133,J.Izquierdo,ESP,Spain
1134,J.J.Macias,MEX,Mexico
1135,J.Jankto,CZE,Czechia
1136,J.Jimenez,ESP,Spain
1137,J.Joe,IRL,Ireland
1138,J.Jonsson,DEN,Denmark
1139,J.Jordan,ESP,Spain
1140,J.Jurado,ESP,Spain
1141,J.Karrikaburu,ESP,Spain
1142,J.Kluivert,NLD,Netherlands
1143,J.Kounde,FRA,France
1144,J.L.Morales,ESP,Spain
1145,J.L.Rodriguez,PAN,Panama
1146,J.Lara,ESP,Spain
1147,J.Larrivey,ARG,Argentina
1148,J.Latasa,ESP,Spain
1149,J.Ledesma,ARG,Argentina
1150,J.Lerma,COL,Colombia
1151,J.Llabres,ESP,Spain
1152,J.Llorente,ESP,Spain
1153,J.Lobete,ESP,Spain
1154,J.Lopez,ESP,Spain
1155,J.Lopez,ESP,Spain
1156,J.Lopez,ESP,Spain
1157,J.Loties,FRA,France
1158,J.Lucumi,COL,Colombia
1159,J.Luque,ESP,Spain
1160,J.M.Dongou,CMR,Cameroon
1161,J.Magunacelaya,ESP,Spain
1162,J.Manquillo,ESP,Spain
1163,J.Mari Martin,ESP,Spain
1164,J.Maria Movilla,ESP,Spain
1165,J.Marquez,ESP,Spain
1166,J.Marti,ESP,Spain
1167,J.Martin,FRA,France
1168,J.Martinez,COL,Colombia
1169,J.Martinez,ESP,Spain
1170,J.Martinez,ESP,Spain
1171,J.Mascherano,ARG,Argentina
1172,J.Masip,ESP,Spain
1173,J.Mata,ESP,Spain
1174,J.Mathieu,FRA,France
1175,J.Mathijsen,NLD,Netherlands
1176,J.Matilla,ESP,Spain
1177,J.Matos,ESP,Spain
1178,J.Mboula,ESP,Spain
1179,J.Mere,ESP,Spain
1180,J.Miramon,ESP,Spain
1181,J.Miranda,GNQ,Equatorial Guinea
1182,J.Miranda,ESP,Spain
1183,J.Mojica,COL,Colombia
1184,J.Molina,ESP,Spain
1185,J.Moncayola,ESP,Spain
1186,J.Monterde,ESP,Spain
1187,J.Montero,ECU,Ecuador
1188,J.Montiel,ESP,Spain
1189,J.Morcillo,ESP,Spain
1190,J.Morcillo,ESP,Spain
1191,J.Morillas,ESP,Spain
1192,J.Moyano,ESP,Spain
1193,J.Muniz,ESP,Spain
1194,J.Munoz,ESP,Spain
1195,J.Munoz,ESP,Spain
1196,J.Munoz,ESP,Spain
1197,J.Murillo,COL,Colombia
1198,J.Narvaez,COL,Colombia
1199,J.Navas,ESP,Spain
1200,J.Neira,ARG,Argentina
1201,J.Nekounam,IRN,Iran
1202,J.Noblejas,ESP,Spain
1203,J.Nunes,PRT,Portugal
1204,J.Nunez,PAR,Paraguay
1205,J.Oblak,SVN,Slovenia
1206,J.Ontiveros,ESP,Spain
1207,J.Oriol,ESP,Spain
1208,J.Orti,ESP,Spain
1209,J.Ortiz,ESP,Spain
1210,J.Owono,GNQ,Equatorial Guinea
1211,J.Pablo,ESP,Spain
1212,J.Pacheco,ESP,Spain
1213,J.Paredes,ESP,Spain
1214,J.Pastore,ARG,Argentina
1215,J.Perbet,FRA,France
1216,J.Pereira,PRT,Portugal
1217,J.Pereira,ESP,Spain
1218,J.Perez,ESP,Spain
1219,J.Picon,ESP,Spain
1220,J.Pinto,ESP,Spain
1221,J.Pombo,ESP,Spain
1222,J.Pozo,ESP,Spain
