Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.De las Cuevas,37,Midfielder,175,69,30,7,2505,6,4,10,5,0,1.4,78,0.6,1,6.95,Sporting Gijon,2010/2011,ESP,Spain
M.De las Cuevas,37,Midfielder,175,69,34,1,2919,3,5,8,4,0,1.5,76.6,0.7,0,6.87,Sporting Gijon,2011/2012,ESP,Spain
M.De las Cuevas,37,Midfielder,175,69,15,1,1143,1,1,2,1,0,1.6,74.1,1.2,0,6.91,Osasuna,2012/2013,ESP,Spain
M.De las Cuevas,37,Midfielder,175,69,21,3,1621,0,0,0,2,1,1.5,79.2,1.1,0,6.39,Osasuna,2013/2014,ESP,Spain
M.De las Cuevas,37,Midfielder,175,69,20,8,1797,0,1,1,3,0,0.8,80.9,0.6,0,6.51,Osasuna,2016/2017,ESP,Spain
M.del Moral,40,Midfielder,185,84,28,2,2428,9,4,13,3,1,2.8,75,0.7,1,6.85,Getafe,2010/2011,ESP,Spain
M.del Moral,40,Midfielder,185,84,25,9,2229,10,1,11,5,1,2.4,73.1,0.6,1,6.66,Sevilla,2011/2012,ESP,Spain
M.del Moral,40,Midfielder,185,84,7,15,773,1,0,1,2,0,0.9,75.2,0.4,0,6.32,Sevilla,2012/2013,ESP,Spain
M.del Moral,40,Midfielder,185,84,19,5,1447,2,1,3,3,0,1.3,69.7,1.9,0,6.44,Elche,2013/2014,ESP,Spain
M.del Moral,40,Midfielder,185,84,21,7,1701,3,1,4,2,0,1.7,71.5,0.9,2,6.49,Eibar,2014/2015,ESP,Spain
M.Delgado,29,Defender,173,66,1,1,93,0,0,0,0,0,0.5,84.8,0,0,6.15,Sevilla,2013/2014,ESP,Spain
M.Delgado,29,Defender,173,66,3,0,270,0,0,0,1,0,0.7,67.6,1,0,6.44,Real Valladolid,2018/2019,ESP,Spain
M.Dembele,27,Forward,183,73,0,5,95,0,0,0,0,0,1.2,64.5,1,0,6.16,Atletico Madrid,2020/2021,FRA,France
M.Demichelis,43,Defender,184,80,18,0,1482,1,0,1,7,2,0.4,81.3,2.6,2,7.28,Malaga,2010/2011,ARG,Argentina
M.Demichelis,43,Defender,184,80,33,2,3017,2,1,3,7,1,0.5,79.8,1.6,2,7.19,Malaga,2011/2012,ARG,Argentina
M.Demichelis,43,Defender,184,80,31,0,2728,4,0,4,9,2,0.5,83.4,2.5,4,7.17,Malaga,2012/2013,ARG,Argentina
M.Demichelis,43,Defender,184,80,1,1,98,0,0,0,0,0,0,71.7,2.5,0,6.58,Espanyol,2016/2017,ARG,Argentina
M.Demichelis,43,Defender,184,80,7,3,675,0,0,0,3,0,0.4,81.1,3,1,6.68,Malaga,2016/2017,ARG,Argentina
M.Depay,30,Forward,178,78,20,8,1850,12,2,14,3,0,2.2,82.1,0.4,5,7.1,Barcelona,2021/2022,NLD,Netherlands
M.Depay,30,Forward,178,78,3,5,269,4,0,4,1,0,1.4,78.6,0.1,0,6.62,Atletico Madrid,2022/2023,NLD,Netherlands
M.Depay,30,Forward,178,78,2,0,116,1,0,1,0,0,3,83.9,0.5,0,7.23,Barcelona,2022/2023,NLD,Netherlands
M.Diakhaby,27,Defender,189,78,16,6,1574,2,0,2,9,0,0.5,85.1,1.6,0,6.65,Valencia,2018/2019,GUI,Guinea
M.Diakhaby,27,Defender,189,78,15,6,1441,0,0,0,5,0,0,88.8,1.8,1,6.53,Valencia,2019/2020,GUI,Guinea
M.Diakhaby,27,Defender,189,78,24,2,2082,1,0,1,4,1,0.4,85,1.8,0,6.49,Valencia,2020/2021,GUI,Guinea
M.Diakhaby,27,Defender,189,78,21,8,1945,0,1,1,11,0,0.3,74.7,1.1,0,6.42,Valencia,2021/2022,GUI,Guinea
M.Diakhaby,27,Defender,189,78,28,1,2449,3,0,3,5,1,0.7,82.1,1.7,1,6.65,Valencia,2022/2023,GUI,Guinea
M.Diakite,37,Defender,192,84,2,0,180,0,0,0,0,0,0,90.2,1.5,0,5.32,Deportivo La Coruna,2014/2015,FRA,France
